Brand,Device,CC Count,NRPN Count,PC Count,Total Parameters,MIDI Thru,MIDI Clock,Phantom Power
Walrus Audio,M1,40,0,0,40,No,No,None
Walrus Audio,Meraki (Stereo Analog Delay),23,0,0,23,No,No,None
Walrus Audio,R1,15,0,0,15,No,No,None
Walrus Audio,m1mk2,26,0,0,26,Yes,Yes,unknown
Walrus Audio,acs1mk2,24,0,0,24,Yes,Yes,unknown
Walrus Audio,d1mk2,22,0,0,22,Yes,Yes,unknown
Walrus Audio,D1 (Old version),21,0,0,21,Yes,Yes,None
Walrus Audio,r1mk2,17,0,0,17,Yes,Yes,unknown
wampler,catacombs,25,0,0,25,No,No,None
wampler,metaverse,22,0,0,22,No,No,None
wampler,pantheon,9,0,0,9,No,No,None
wampler,terraform,1,0,0,1,No,No,None
Yamaha,nsx-1,40,0,0,40,No,No,None
Yamaha,reface CP,23,0,0,23,No,No,None
Yamaha,reface CS,30,0,0,30,No,No,None
Yamaha,reface DX,42,0,0,42,No,No,None
Yamaha,reface YC,28,0,0,28,No,No,None
EM Custom,AMI Universal Dual TRS,0,0,0,0,No,No,None
Swindler Effects,Red Mountain Tremolo V2,20,0,0,20,No,No,None
Swindler Effects,The Gulf Chorus V2,15,0,0,15,No,No,None
Pigtronix,Infinity,61,0,0,61,No,No,None
Pigtronix,Echolution 2 Deluxe,27,0,0,27,No,Yes,None
Chase Bliss Audio,Habit,27,0,0,27,No,No,None
Chase Bliss Audio,Lossy,43,0,0,43,Yes,No,None
Chase Bliss Audio,Warped Vinyl HiFi,19,0,0,19,No,Yes,None
Chase Bliss Audio,Thermae,28,0,0,28,No,Yes,None
Chase Bliss Audio,Wombtone MKII,19,0,0,19,No,Yes,None
Chase Bliss Audio,Generation Loss MKII,86,0,0,86,No,No,None
Chase Bliss Audio,CXM 1978,19,0,0,19,Yes,No,None
Chase Bliss Audio,Mood,12,0,0,12,Yes,No,None
Chase Bliss Audio,Condor,22,0,0,22,Yes,No,None
Chase Bliss Audio,Onward,98,0,0,98,No,Yes,None
Chase Bliss Audio,brothersam,53,0,0,53,Yes,Yes,unknown
